role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,136,0.257,0.324,0.288,0.148,0.294,0.42,0.27,0.943,0.324,0.27,0.127,0.25,0.435,0.278,1.0,0.0,-0.017
child,136,0.206,0.404,0.42,0.386,0.491,0.385,0.245,0.893,0.301,0.29,0.187,0.327,0.356,0.22,0.929,-0.103,-0.131
none,88,0.318,0.364,0.288,0.16,0.222,0.481,0.325,0.929,0.364,0.288,0.16,0.222,0.481,0.325,0.929,0.0,0.0
teen,152,0.217,0.329,0.313,0.233,0.327,0.38,0.238,0.939,0.368,0.371,0.273,0.448,0.392,0.248,0.939,0.039,0.058
