role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,136,0.346,0.434,0.351,0.237,0.273,0.544,0.377,0.979,0.419,0.319,0.175,0.238,0.543,0.373,1.0,-0.015,-0.033
child,136,0.221,0.449,0.451,0.451,0.464,0.439,0.284,0.967,0.346,0.319,0.258,0.295,0.403,0.252,1.0,-0.103,-0.133
none,88,0.477,0.523,0.363,0.242,0.19,0.656,0.5,0.952,0.477,0.3,0.182,0.095,0.623,0.475,0.905,-0.045,-0.063
teen,152,0.27,0.414,0.386,0.301,0.373,0.482,0.318,1.0,0.428,0.408,0.32,0.419,0.485,0.323,0.976,0.013,0.023
