role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,512,0.178,0.258,0.238,0.226,0.183,0.306,0.184,0.912,0.26,0.242,0.217,0.205,0.305,0.183,0.901,0.002,0.004
child,512,0.324,0.422,0.358,0.291,0.264,0.52,0.357,0.952,0.406,0.347,0.256,0.283,0.502,0.345,0.916,-0.016,-0.011
none,512,0.16,0.244,0.229,0.196,0.207,0.284,0.167,0.927,0.252,0.242,0.231,0.214,0.28,0.166,0.878,0.008,0.013
teen,512,0.221,0.311,0.282,0.255,0.217,0.374,0.235,0.912,0.291,0.266,0.198,0.249,0.35,0.22,0.85,-0.02,-0.016
