role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,136,0.368,0.441,0.345,0.25,0.227,0.558,0.393,0.96,0.426,0.314,0.148,0.238,0.557,0.389,0.98,-0.015,-0.031
child,136,0.294,0.5,0.493,0.457,0.5,0.521,0.363,0.925,0.404,0.354,0.262,0.308,0.491,0.328,0.975,-0.096,-0.139
none,88,0.534,0.602,0.431,0.32,0.25,0.724,0.575,0.979,0.58,0.398,0.32,0.167,0.709,0.562,0.957,-0.023,-0.033
teen,152,0.243,0.368,0.339,0.289,0.295,0.431,0.277,0.973,0.401,0.386,0.308,0.406,0.444,0.288,0.973,0.033,0.048
