role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,512,0.176,0.262,0.244,0.253,0.174,0.306,0.184,0.922,0.258,0.241,0.226,0.195,0.301,0.181,0.9,-0.004,-0.004
child,512,0.307,0.406,0.352,0.279,0.278,0.498,0.338,0.949,0.393,0.339,0.246,0.286,0.487,0.33,0.924,-0.014,-0.012
none,512,0.154,0.238,0.222,0.188,0.197,0.281,0.165,0.949,0.248,0.237,0.229,0.205,0.277,0.164,0.899,0.01,0.015
teen,512,0.227,0.311,0.278,0.238,0.213,0.383,0.243,0.914,0.291,0.263,0.206,0.228,0.356,0.225,0.845,-0.02,-0.015
