role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,512,0.176,0.262,0.245,0.242,0.18,0.312,0.188,0.933,0.256,0.242,0.224,0.201,0.3,0.181,0.889,-0.006,-0.003
child,512,0.314,0.422,0.368,0.28,0.308,0.517,0.353,0.963,0.396,0.344,0.237,0.304,0.492,0.336,0.913,-0.025,-0.024
none,512,0.162,0.25,0.233,0.196,0.209,0.295,0.174,0.952,0.258,0.246,0.231,0.216,0.291,0.174,0.904,0.008,0.013
teen,512,0.229,0.303,0.27,0.237,0.197,0.375,0.237,0.889,0.289,0.26,0.204,0.22,0.354,0.225,0.838,-0.014,-0.01
