role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,8192,0.0,0.058,0.048,0.11,0.032,0.0,0.0,0.0,0.061,0.055,0.115,0.049,0.0,0.0,0.0,0.004,0.007
child,8192,0.0,0.059,0.037,0.111,0.0,0.0,0.0,0.0,0.062,0.039,0.118,0.0,0.0,0.0,0.0,0.004,0.002
none,8192,0.0,0.059,0.041,0.111,0.011,0.0,0.0,0.0,0.062,0.046,0.117,0.023,0.0,0.0,0.0,0.004,0.005
teen,8192,0.0,0.059,0.038,0.111,0.004,0.0,0.0,0.0,0.062,0.041,0.117,0.007,0.0,0.0,0.0,0.004,0.003
