role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,512,0.184,0.268,0.246,0.237,0.178,0.323,0.195,0.936,0.262,0.243,0.218,0.199,0.311,0.188,0.894,-0.006,-0.003
child,512,0.332,0.432,0.364,0.289,0.271,0.533,0.369,0.959,0.41,0.349,0.238,0.302,0.508,0.352,0.912,-0.021,-0.015
none,512,0.158,0.236,0.222,0.185,0.203,0.277,0.163,0.914,0.246,0.235,0.219,0.211,0.276,0.164,0.877,0.01,0.014
teen,512,0.219,0.301,0.274,0.249,0.209,0.364,0.229,0.893,0.279,0.256,0.208,0.222,0.337,0.212,0.821,-0.021,-0.018
