role,n,c_usage,acc_classical,macro_f1_classical,f1_A_classical,f1_B_classical,f1_C_classical,recall_C_classical,precision_C_classical,acc_wcs,macro_f1_wcs,f1_A_wcs,f1_B_wcs,f1_C_wcs,recall_C_wcs,precision_C_wcs,delta_acc_wcs_minus_classical,delta_macro_f1_wcs_minus_classical
adult,8192,0.125,0.216,0.211,0.221,0.182,0.231,0.132,0.932,0.228,0.226,0.227,0.217,0.234,0.134,0.929,0.012,0.015
child,8192,0.244,0.318,0.274,0.231,0.191,0.401,0.256,0.926,0.326,0.288,0.237,0.224,0.401,0.257,0.915,0.007,0.014
none,8192,0.13,0.214,0.206,0.203,0.179,0.236,0.136,0.918,0.228,0.223,0.223,0.207,0.24,0.138,0.917,0.013,0.017
teen,8192,0.169,0.254,0.236,0.226,0.185,0.298,0.178,0.926,0.266,0.252,0.234,0.219,0.302,0.181,0.925,0.011,0.015
